id	state	city	potencia kwp	nro_paineis	geracao_media	preco
10131	SP	São Paulo	30.6	68	3611	R$128.360,97
10133	SP	São Carlos	34.96	76	4125	R$128.713,44
10143	SP	São Paulo	36.18	108	4269	R$132.056,83
10147	SP	São Paulo	37.5	100	4425	R$132.191,27
10161	SP	São Carlos	38.19	114	4506	R$132.482,86
10162	SP	São Carlos	35.51	106	4190	R$132.318,28
10192	SP	São Paulo	31.28	68	3691	R$129.521,82
10204	SP	São Carlos	33.12	72	3908	R$129.765,53
10220	SP	São Carlos	36	96	4248	R$133.189,16
10244	SP	São Paulo	36	80	4248	R$130.620,07
10245	SP	São Paulo	35.51	106	4190	R$133.551,77
10263	SP	São Paulo	33.3	74	3929	R$130.835,93
10269	SP	São Paulo	38.25	102	4514	R$134.253,92
10291	SP	São Paulo	31.28	68	3691	R$131.181,09
10311	SP	São Paulo	36	96	4248	R$134.929,20
10314	SP	São Paulo	36	96	4248	R$134.973,05
10319	SP	São Paulo	36.18	108	4269	R$135.092,66
10364	SP	São Paulo	36.18	108	4269	R$135.989,22
10377	SP	São Paulo	34.2	76	4036	R$133.139,42
10397	SP	São Paulo	32.4	72	3823	R$133.422,56
10405	SP	São Paulo	40.2	120	4744	R$137.151,68
10413	SP	São Paulo	38.19	114	4506	R$137.151,42
10417	SP	São Paulo	36.85	110	4348	R$137.077,79
10422	SP	São Paulo	34.04	74	4017	R$133.917,86
10431	SP	São Paulo	36	96	4248	R$137.191,94
10466	SP	São Paulo	36.85	110	4348	R$137.983,58
10495	SP	São Paulo	37.52	112	4427	R$138.619,83
10509	SP	São Paulo	37.5	100	4425	R$138.991,04
10514	SP	São Paulo	35.1	78	4142	R$135.914,83
10526	SP	São Paulo	40.5	108	4779	R$139.605,31
10529	SP	São Paulo	34.04	74	4017	R$136.234,83
10534	SP	São Paulo	37.52	112	4427	R$139.525,62
10538	SP	São Paulo	37.5	100	4425	R$139.666,05
10540	SP	São Paulo	33.12	72	3908	R$136.404,91
10576	SP	São Paulo	38.19	114	4506	R$140.614,19
10600	SP	São Paulo	37.5	100	4425	R$141.201,86
10605	SP	São Carlos	36	80	4248	R$138.218,32
10609	SP	São Paulo	38.19	114	4506	R$141.510,75
10625	SP	São Paulo	34.2	76	4036	R$138.501,46
10633	SP	São Paulo	42.21	126	4981	R$142.227,82
10644	SP	São Paulo	36	80	4248	R$139.114,87
10646	SP	São Paulo	35.88	78	4234	R$139.141,67
10655	SP	São Carlos	40.5	108	4779	R$142.721,92
10681	SP	São Paulo	38.86	116	4585	R$143.051,64
10721	SP	São Carlos	36.9	82	4354	R$140.975,27
10731	SP	São Paulo	36.8	80	4342	R$141.527,42
10744	SP	São Paulo	34.96	76	4125	R$141.647,18
10747	SP	São Paulo	40.2	120	4744	R$145.043,01
10751	SP	São Paulo	36.9	82	4354	R$141.881,06
10756	SP	São Paulo	42.75	114	5045	R$145.357,10
10759	SP	São Paulo	42.21	126	4981	R$145.352,50
10764	SP	São Paulo	39	104	4602	R$145.227,92
10782	SP	São Paulo	36.8	80	4342	R$142.441,29
10826	SP	São Paulo	40.2	120	4744	R$146.578,81
10828	SP	São Paulo	44.22	132	5218	R$146.896,64
10839	SP	São Paulo	36	80	4248	R$143.561,89
10850	SP	São Paulo	37.8	84	4460	R$144.193,77
10858	SP	São Paulo	37.72	82	4451	R$144.382,80
10862	SP	São Paulo	40.5	108	4779	R$147.710,11
10874	SP	São Carlos	40.5	90	4779	R$145.025,63
10886	SP	São Paulo	42.75	114	5045	R$148.481,78
10892	SP	São Paulo	37.72	82	4451	R$145.279,35
10930	SP	São Paulo	40.5	108	4779	R$149.236,68
10955	SP	São Carlos	45	120	5310	R$150.283,86
10959	SP	São Paulo	41.54	124	4902	R$150.104,83
10962	SP	São Paulo	38.7	86	4567	R$146.941,50
10963	SP	São Carlos	36.8	80	4342	R$146.871,00
10980	SP	São Paulo	38.64	84	4560	R$147.665,10
10981	SP	São Paulo	44.56	133	5258	R$151.138,30
11023	SP	São Paulo	37.8	84	4460	R$148.623,49
11029	SP	São Paulo	42.88	128	5060	R$152.086,96
11042	SP	São Paulo	39.6	88	4673	R$149.255,36
11068	SP	São Paulo	42	112	4956	R$153.263,90
11083	SP	São Paulo	40.5	90	4779	R$150.476,52
11085	SP	São Paulo	42.88	128	5060	R$153.632,00
11088	SP	São Paulo	45	120	5310	R$153.825,10
11092	SP	São Paulo	39.56	86	4668	R$150.521,63
11093	SP	São Paulo	42.75	95	5045	R$153.728,44
